1/10/2019	5.6752
2/10/2019	5.728
3/10/2019	5.6854
4/10/2019	5.6894
5/10/2019	5.6894
6/12/2019	5.6894
7/10/2019	5.7343
8/10/2019	5.816
9/10/2019	5.8276
10/10/2019	5.8704
11/10/2019	5.8417
12/12/2019	5.8417
13/10/2019	5.8417
14/10/2019	5.9103
15/10/2019	5.8881
16/10/2019	5.8915
17/10/2019	5.8806
18/10/2019	5.769
19/10/2019	5.769
20/10/2019	5.769
21/10/2019	5.8124
22/10/2019	5.8303
23/10/2019	5.7712
24/10/2019	5.7417
25/10/2019	5.7584
26/10/2019	5.7584
27/10/2019	5.7584
28/10/2019	5.7584
29/10/2019	5.7584
30/10/2019	5.7363
31/10/2019	5.7083
